GP,Year,Driver,Team,DriverPointsBefore,TeamPointsBefore,DriverRecentForm,TeamRecentForm,QualifyingTime (s),AvgRaceTime (s),StartPosition,EndPosition
Canadian Grand Prix,2018,GRO,Haas F1 Team,0.0,19.0,16.0,15.333333333333334,72.27142105263158,79.1051911764706,20.0,12.0
Canadian Grand Prix,2018,MAG,Haas F1 Team,19.0,19.0,10.666666666666666,15.333333333333334,72.606,79.29816176470588,11.0,13.0
Canadian Grand Prix,2018,PER,Force India,17.0,26.0,8.0,11.333333333333334,72.671,79.33198529411764,10.0,14.0
Canadian Grand Prix,2018,ERI,Sauber,2.0,11.0,11.666666666666666,14.0,74.593,79.53461194029852,19.0,15.0
Canadian Grand Prix,2018,VAN,McLaren,8.0,40.0,12.666666666666666,16.333333333333332,72.865,79.35735820895523,15.0,16.0
Canadian Grand Prix,2018,SIR,Williams,0.0,4.0,16.666666666666668,15.666666666666666,73.643,78.87372307692308,18.0,17.0
Canadian Grand Prix,2018,ALO,McLaren,32.0,40.0,11.666666666666666,16.333333333333332,72.856,81.0662564102564,14.0,18.0
Canadian Grand Prix,2018,HAR,Toro Rosso,1.0,19.0,13.666666666666666,15.0,72.635,,12.0,19.0
Canadian Grand Prix,2018,STR,Williams,4.0,4.0,12.0,15.666666666666666,73.59,,17.0,20.0
French Grand Prix,2018,HAM,Mercedes,120.0,206.0,3.0,4.0,90.029,100.45100000000001,1.0,1.0
French Grand Prix,2018,VER,Red Bull Racing,50.0,134.0,5.0,5.333333333333333,90.705,100.56378431372548,4.0,2.0
French Grand Prix,2018,RAI,Ferrari,68.0,189.0,9.0,3.6666666666666665,91.057,100.80821568627451,6.0,3.0
French Grand Prix,2018,RIC,Red Bull Racing,84.0,134.0,3.3333333333333335,5.333333333333333,90.895,101.05958823529411,5.0,4.0
French Grand Prix,2018,VET,Ferrari,121.0,189.0,2.3333333333333335,3.6666666666666665,90.4,100.75927450980392,3.0,5.0
French Grand Prix,2018,MAG,Haas F1 Team,19.0,19.0,10.666666666666666,13.333333333333334,92.93,101.91360784313726,9.0,6.0
French Grand Prix,2018,BOT,Mercedes,86.0,206.0,3.0,4.0,90.147,100.37966666666667,2.0,7.0
French Grand Prix,2018,SAI,Renault,24.0,56.0,8.333333333333334,8.333333333333334,92.126,102.1115294117647,7.0,8.0
French Grand Prix,2018,HUL,Renault,32.0,56.0,11.666666666666666,8.333333333333334,92.115,102.00505882352941,12.0,9.0
French Grand Prix,2018,LEC,Sauber,10.0,12.0,12.666666666666666,14.333333333333334,92.635,102.16982352941177,8.0,10.0
French Grand Prix,2018,GRO,Haas F1 Team,0.0,19.0,15.0,13.333333333333334,91.472,102.49414,10.0,11.0
French Grand Prix,2018,VAN,McLaren,8.0,40.0,15.0,18.0,93.162,101.70051020408162,17.0,12.0
French Grand Prix,2018,ERI,Sauber,2.0,12.0,13.0,14.333333333333334,92.82,103.11273999999999,15.0,13.0
French Grand Prix,2018,HAR,Toro Rosso,1.0,19.0,16.666666666666668,16.333333333333332,93.025,102.09834693877552,20.0,14.0
French Grand Prix,2018,SIR,Williams,0.0,4.0,15.666666666666666,18.0,93.636,102.90366,18.0,15.0
French Grand Prix,2018,ALO,McLaren,32.0,40.0,15.333333333333334,18.0,92.976,102.82635416666666,16.0,16.0
French Grand Prix,2018,STR,Williams,4.0,4.0,16.0,18.0,93.729,102.4190652173913,19.0,17.0
French Grand Prix,2018,PER,Force India,17.0,28.0,11.666666666666666,11.666666666666666,92.454,104.93812,13.0,18.0
French Grand Prix,2018,OCO,Force India,11.0,28.0,10.333333333333334,11.666666666666666,92.075,,11.0,19.0
French Grand Prix,2018,GAS,Toro Rosso,18.0,19.0,12.333333333333334,16.333333333333332,92.46,,14.0,20.0
Austrian Grand Prix,2018,VER,Red Bull Racing,68.0,164.0,4.666666666666667,3.3333333333333335,63.84,69.15421428571429,4.0,1.0
Austrian Grand Prix,2018,RAI,Ferrari,83.0,214.0,4.333333333333333,4.666666666666667,63.66,69.16844285714286,3.0,2.0
Austrian Grand Prix,2018,VET,Ferrari,131.0,214.0,2.6666666666666665,4.666666666666667,63.464,69.16907142857143,6.0,3.0
Austrian Grand Prix,2018,GRO,Haas F1 Team,0.0,27.0,12.666666666666666,10.0,63.892,70.44791304347827,5.0,4.0
Austrian Grand Prix,2018,MAG,Haas F1 Team,27.0,27.0,10.666666666666666,10.0,64.051,70.46215942028985,8.0,5.0
Austrian Grand Prix,2018,OCO,Force India,11.0,28.0,11.333333333333334,17.0,64.845,70.60328985507248,11.0,6.0
Austrian Grand Prix,2018,PER,Force India,17.0,28.0,14.666666666666666,17.0,65.279,70.60995652173914,16.0,7.0
Austrian Grand Prix,2018,ALO,McLaren,32.0,40.0,18.0,15.333333333333334,65.058,70.78363768115942,13.0,8.0
Austrian Grand Prix,2018,LEC,Sauber,11.0,13.0,12.666666666666666,12.666666666666666,64.979,70.7419552238806,18.0,9.0
Austrian Grand Prix,2018,ERI,Sauber,2.0,13.0,13.0,12.666666666666666,65.479,70.8751304347826,20.0,10.0
Austrian Grand Prix,2018,GAS,Toro Rosso,18.0,19.0,12.666666666666666,17.666666666666668,64.874,70.97336231884059,12.0,11.0
